Country,Year,Fish
Australia,1995,22395
Australia,1996,25323
Australia,1997,26543
Australia,1998,24570
Australia,1999,29189
Australia,2000,31746
Australia,2001,35403
Australia,2002,38566
Australia,2003,38793
Australia,2004,44142
Australia,2005,42787
Australia,2006,49376
Australia,2007,55799
Australia,2008,58911.7
Australia,2009,70121.85
Australia,2010,73324.21
Australia,2011,75910.52
Australia,2012,81482.93
Australia,2013,79818.9
Australia,2014,74840.21
Australia,2015,90990.3
Australia,2016,96847.63
