Type,Area,Item,Year,Vegetables
Production Quantity,Australia,Vegetables,1961,51.251
Production Quantity,Australia,Vegetables,1962,49.307
Production Quantity,Australia,Vegetables,1963,49.581
Production Quantity,Australia,Vegetables,1964,51.853
Production Quantity,Australia,Vegetables,1965,48.15
Production Quantity,Australia,Vegetables,1966,60.869
Production Quantity,Australia,Vegetables,1967,57.992
Production Quantity,Australia,Vegetables,1968,59.544
Production Quantity,Australia,Vegetables,1969,59.501
Production Quantity,Australia,Vegetables,1970,55.664
Production Quantity,Australia,Vegetables,1971,67.353
Production Quantity,Australia,Vegetables,1972,63.907
Production Quantity,Australia,Vegetables,1973,57.228
Production Quantity,Australia,Vegetables,1974,67.007
Production Quantity,Australia,Vegetables,1975,61.507
Production Quantity,Australia,Vegetables,1976,62.125
Production Quantity,Australia,Vegetables,1977,76.197
Production Quantity,Australia,Vegetables,1978,81.881
Production Quantity,Australia,Vegetables,1979,78.501
Production Quantity,Australia,Vegetables,1980,71.544
Production Quantity,Australia,Vegetables,1981,70.115
Production Quantity,Australia,Vegetables,1982,68.555
Production Quantity,Australia,Vegetables,1983,71.616
Production Quantity,Australia,Vegetables,1984,80.101
Production Quantity,Australia,Vegetables,1985,85.026
Production Quantity,Australia,Vegetables,1986,86.421
Production Quantity,Australia,Vegetables,1987,86.116
Production Quantity,Australia,Vegetables,1988,86.615
Production Quantity,Australia,Vegetables,1989,86.142
Production Quantity,Australia,Vegetables,1990,92.418
Production Quantity,Australia,Vegetables,1991,79.124
Production Quantity,Australia,Vegetables,1992,80.744
Production Quantity,Australia,Vegetables,1993,78
Production Quantity,Australia,Vegetables,1994,75
Production Quantity,Australia,Vegetables,1995,72.971
Production Quantity,Australia,Vegetables,1996,85.369
Production Quantity,Australia,Vegetables,1997,84.44
Production Quantity,Australia,Vegetables,1998,85.392
Production Quantity,Australia,Vegetables,1999,83.06
Production Quantity,Australia,Vegetables,2000,86.208
Production Quantity,Australia,Vegetables,2001,80
Production Quantity,Australia,Vegetables,2002,78.134
Production Quantity,Australia,Vegetables,2003,76.983
Production Quantity,Australia,Vegetables,2004,75.935
Production Quantity,Australia,Vegetables,2005,75.132
Production Quantity,Australia,Vegetables,2006,70
Production Quantity,Australia,Vegetables,2007,72
Production Quantity,Australia,Vegetables,2008,74.671
Production Quantity,Australia,Vegetables,2009,76.428
Production Quantity,Australia,Vegetables,2010,77.129
Production Quantity,Australia,Vegetables,2011,76.985
Production Quantity,Australia,Vegetables,2012,76.841
Production Quantity,Australia,Vegetables,2013,76.697
Production Quantity,Australia,Vegetables,2014,76.553
Production Quantity,Australia,Vegetables,2015,76.409
Production Quantity,Australia,Vegetables,2016,76.265
